| it/Total Steps | 完成百分比 | Progress | Time | Reward | Eval Reward | QF loss| Step |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 100/80000 | 0.1% | 00:03:32 | 0.380 | 0.567 | 23.104 | 1313 |
| 200/80000 | 0.3% | 00:05:06 | 0.452 | 0.567 | 26.139 | 2613 |
| 300/80000 | 0.4% | 00:06:42 | 0.479 | 0.567 | 24.303 | 3913 |
| 400/80000 | 0.5% | 00:08:17 | 0.479 | 0.567 | 17.420 | 5213 |
| 500/80000 | 0.6% | 00:09:52 | 0.470 | 0.567 | 14.732 | 6513 |
| 600/80000 | 0.8% | 00:11:23 | 0.463 | 0.567 | 8.293 | 7813 |
| 700/80000 | 0.9% | 00:12:58 | 0.453 | 0.567 | 4.226 | 9113 |
| 800/80000 | 1.0% | 00:14:33 | 0.437 | 0.567 | 2.981 | 10413 |
| 900/80000 | 1.1% | 00:17:11 | 0.206 | 0.353 | 0.791 | 11713 |
| 1000/80000 | 1.3% | 00:18:46 | 0.172 | 0.353 | 0.533 | 13013 |
| 1100/80000 | 1.4% | 00:20:21 | 0.183 | 0.353 | 0.189 | 14313 |
| 1200/80000 | 1.5% | 00:21:57 | 0.173 | 0.353 | 0.248 | 15613 |
| 1300/80000 | 1.6% | 00:23:32 | 0.170 | 0.353 | 0.130 | 16913 |
| 1400/80000 | 1.8% | 00:25:08 | 0.165 | 0.353 | 0.179 | 18213 |
| 1500/80000 | 1.9% | 00:26:44 | 0.164 | 0.353 | 0.106 | 19513 |
| 1600/80000 | 2.0% | 00:28:20 | 0.165 | 0.353 | 0.071 | 20813 |
| 1700/80000 | 2.1% | 00:30:48 | 0.177 | 0.253 | 0.022 | 22113 |
| 1800/80000 | 2.3% | 00:32:24 | 0.222 | 0.253 | 0.175 | 23413 |
| 1900/80000 | 2.4% | 00:34:00 | 0.227 | 0.253 | 0.216 | 24713 |
| 2000/80000 | 2.5% | 00:35:36 | 0.241 | 0.253 | 0.134 | 26013 |
| 2100/80000 | 2.6% | 00:37:13 | 0.265 | 0.253 | 0.121 | 27313 |
| 2200/80000 | 2.8% | 00:38:49 | 0.292 | 0.253 | 0.133 | 28613 |
| 2300/80000 | 2.9% | 00:40:25 | 0.324 | 0.253 | 0.112 | 29913 |
| 2400/80000 | 3.0% | 00:42:00 | 0.354 | 0.253 | 0.132 | 31213 |
| 2500/80000 | 3.1% | 00:44:54 | 0.586 | 0.720 | 0.101 | 32513 |
| 2600/80000 | 3.3% | 00:46:29 | 0.569 | 0.720 | 0.195 | 33813 |
| 2700/80000 | 3.4% | 00:48:05 | 0.582 | 0.720 | 0.096 | 35113 |
| 2800/80000 | 3.5% | 00:49:41 | 0.582 | 0.720 | 0.116 | 36413 |
| 2900/80000 | 3.6% | 00:51:17 | 0.600 | 0.720 | 0.169 | 37713 |
| 3000/80000 | 3.8% | 00:52:53 | 0.608 | 0.720 | 0.206 | 39013 |
| 3100/80000 | 3.9% | 00:54:29 | 0.616 | 0.720 | 0.126 | 40313 |
| 3200/80000 | 4.0% | 00:56:05 | 0.620 | 0.720 | 0.144 | 41613 |
| 3300/80000 | 4.1% | 00:59:07 | 0.662 | 0.800 | 0.059 | 42913 |
| 3400/80000 | 4.3% | 01:00:44 | 0.646 | 0.800 | 0.208 | 44213 |
| 3500/80000 | 4.4% | 01:02:19 | 0.652 | 0.800 | 0.098 | 45513 |
| 3600/80000 | 4.5% | 01:03:56 | 0.662 | 0.800 | 0.078 | 46813 |
| 3700/80000 | 4.6% | 01:05:32 | 0.666 | 0.800 | 0.063 | 48113 |
| 3800/80000 | 4.8% | 01:07:07 | 0.665 | 0.800 | 0.114 | 49413 |
| 3900/80000 | 4.9% | 01:08:43 | 0.664 | 0.800 | 0.152 | 50713 |
| 4000/80000 | 5.0% | 01:10:19 | 0.663 | 0.800 | 0.189 | 52013 |
| 4100/80000 | 5.1% | 01:12:48 | 0.689 | 0.717 | 0.115 | 53313 |
| 4200/80000 | 5.3% | 01:14:24 | 0.718 | 0.717 | 0.173 | 54613 |
| 4300/80000 | 5.4% | 01:16:01 | 0.724 | 0.717 | 0.142 | 55913 |
| 4400/80000 | 5.5% | 01:17:37 | 0.723 | 0.717 | 0.036 | 57213 |
| 4500/80000 | 5.6% | 01:19:12 | 0.722 | 0.717 | 0.064 | 58513 |
| 4600/80000 | 5.8% | 01:20:49 | 0.719 | 0.717 | 0.071 | 59813 |
| 4700/80000 | 5.9% | 01:22:25 | 0.714 | 0.717 | 0.097 | 61113 |
| 4800/80000 | 6.0% | 01:24:00 | 0.712 | 0.717 | 0.197 | 62413 |
| 4900/80000 | 6.1% | 01:26:47 | 0.703 | 0.810 | 0.102 | 63713 |
| 5000/80000 | 6.3% | 01:28:22 | 0.706 | 0.810 | 0.114 | 65013 |
| 5100/80000 | 6.4% | 01:29:58 | 0.715 | 0.810 | 0.098 | 66313 |
| 5200/80000 | 6.5% | 01:31:34 | 0.715 | 0.810 | 0.169 | 67613 |
| 5300/80000 | 6.6% | 01:33:09 | 0.709 | 0.810 | 0.130 | 68913 |
| 5400/80000 | 6.8% | 01:34:45 | 0.703 | 0.810 | 0.139 | 70213 |
| 5500/80000 | 6.9% | 01:36:21 | 0.701 | 0.810 | 0.180 | 71513 |
| 5600/80000 | 7.0% | 01:37:56 | 0.703 | 0.810 | 0.080 | 72813 |
| 5700/80000 | 7.1% | 01:40:49 | 0.688 | 0.830 | 0.246 | 74113 |
| 5800/80000 | 7.3% | 01:42:25 | 0.701 | 0.830 | 0.072 | 75413 |
| 5900/80000 | 7.4% | 01:44:01 | 0.703 | 0.830 | 0.098 | 76713 |
| 6000/80000 | 7.5% | 01:45:37 | 0.715 | 0.830 | 0.294 | 78013 |
| 6100/80000 | 7.6% | 01:47:13 | 0.715 | 0.830 | 0.113 | 79313 |
| 6200/80000 | 7.8% | 01:48:49 | 0.716 | 0.830 | 0.108 | 80613 |
| 6300/80000 | 7.9% | 01:50:25 | 0.713 | 0.830 | 0.104 | 81913 |
| 6400/80000 | 8.0% | 01:51:59 | 0.712 | 0.830 | 0.142 | 83213 |
| 6500/80000 | 8.1% | 01:55:03 | 0.700 | 0.833 | 0.201 | 84513 |
| 6600/80000 | 8.3% | 01:56:39 | 0.698 | 0.833 | 0.076 | 85813 |
| 6700/80000 | 8.4% | 01:58:14 | 0.710 | 0.833 | 0.136 | 87113 |
| 6800/80000 | 8.5% | 01:59:50 | 0.710 | 0.833 | 0.169 | 88413 |
| 6900/80000 | 8.6% | 02:01:26 | 0.710 | 0.833 | 0.138 | 89713 |
| 7000/80000 | 8.8% | 02:03:01 | 0.709 | 0.833 | 0.177 | 91013 |
| 7100/80000 | 8.9% | 02:04:37 | 0.709 | 0.833 | 0.055 | 92313 |
| 7200/80000 | 9.0% | 02:06:13 | 0.707 | 0.833 | 0.069 | 93613 |
| 7300/80000 | 9.1% | 02:08:41 | 0.675 | 0.820 | 0.147 | 94913 |
| 7400/80000 | 9.3% | 02:10:17 | 0.692 | 0.820 | 0.140 | 96213 |
| 7500/80000 | 9.4% | 02:11:53 | 0.696 | 0.820 | 0.102 | 97513 |
| 7600/80000 | 9.5% | 02:13:28 | 0.705 | 0.820 | 0.100 | 98813 |
| 7700/80000 | 9.6% | 02:15:04 | 0.698 | 0.820 | 0.094 | 100113 |
| 7800/80000 | 9.8% | 02:16:39 | 0.701 | 0.820 | 0.085 | 101413 |
| 7900/80000 | 9.9% | 02:18:13 | 0.698 | 0.820 | 0.085 | 102713 |
| 8000/80000 | 10.0% | 02:19:48 | 0.697 | 0.820 | 0.228 | 104013 |
| 8100/80000 | 10.1% | 02:22:16 | 0.714 | 0.827 | 0.152 | 105313 |
| 8200/80000 | 10.3% | 02:23:52 | 0.714 | 0.827 | 0.132 | 106613 |
| 8300/80000 | 10.4% | 02:25:27 | 0.716 | 0.827 | 0.155 | 107913 |
| 8400/80000 | 10.5% | 02:27:03 | 0.712 | 0.827 | 0.123 | 109213 |
